# spec: kotlin-consumer.md
# sha256: f872f1d819bc7aef5230689728b34315fcf53b9fec0d6c3b742dfcbd68e51d87
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
kotlin campaign	goal		The spec describes how the Kotlin campaign uses dcsterrain.	Spec: Kotlin consumer	How the Kotlin campaign uses `dcsterrain`. The campaign contains no
kotlin campaign	constraint		The campaign contains no terrain logic.	Spec: Kotlin consumer	terrain logic. This spec is deliberately small; if it grows, the logic
kotlin campaign	constraint		If the spec grows, the logic belongs in dcsterrain-core instead.	Spec: Kotlin consumer	belongs in `dcsterrain-core` instead.
dcsterrain-client	definition		dcsterrain-client is a single Kotlin module with one interface.	Shape	A single Kotlin module, `dcsterrain-client`, with one interface:
terrain interface	definition		The Terrain interface exposes one suspend method per query operation.	Shape	interface Terrain {
terrain.describe	interface		Terrain.describe takes no arguments and returns Describe.	Shape	fun describe(): Describe
terrain.sample	interface		Terrain.sample takes SampleRequest and returns SampleResponse.	Shape	fun sample(req: SampleRequest): SampleResponse
terrain.scoresite	interface		Terrain.scoreSite takes ScoreSiteRequest and returns ScoreSiteResponse.	Shape	fun scoreSite(req: ScoreSiteRequest): ScoreSiteResponse
terrain.findsites	interface		Terrain.findSites takes FindSitesRequest and returns FindSitesResponse.	Shape	fun findSites(req: FindSitesRequest): FindSitesResponse
terrain.visible	interface		Terrain.visible takes VisibleRequest and returns VisibleResponse.	Shape	fun visible(req: VisibleRequest): VisibleResponse
terrain.viewshed	interface		Terrain.viewshed takes ViewshedRequest and returns ViewshedResponse.	Shape	fun viewshed(req: ViewshedRequest): ViewshedResponse
terrain.coverage	interface		Terrain.coverage takes CoverageRequest and returns CoverageResponse.	Shape	fun coverage(req: CoverageRequest): CoverageResponse
terrain.approachspectrum	interface		Terrain.approachSpectrum takes ApproachSpectrumRequest and returns ApproachSpectrumResponse.	Shape	fun approachSpectrum(req: ApproachSpectrumRequest): ApproachSpectrumResponse
terrain.unmaskprofile	interface		Terrain.unmaskProfile takes UnmaskProfileRequest and returns UnmaskProfileResponse.	Shape	fun unmaskProfile(req: UnmaskProfileRequest): UnmaskProfileResponse
terrain.route	interface		Terrain.route takes RouteRequest and returns RouteResponse.	Shape	fun route(req: RouteRequest): RouteResponse
terrain.routealternatives	interface		Terrain.routeAlternatives takes RouteAlternativesRequest and returns RouteAlternativesResponse.	Shape	fun routeAlternatives(req: RouteAlternativesRequest): RouteAlternativesResponse
terrain.nearest	interface		Terrain.nearest takes NearestRequest and returns NearestResponse.	Shape	fun nearest(req: NearestRequest): NearestResponse
terrain.sceneryin	interface		Terrain.sceneryIn takes SceneryInRequest and returns SceneryInResponse.	Shape	fun sceneryIn(req: SceneryInRequest): SceneryInResponse
terrain.chokepoints	interface		Terrain.chokepoints takes ChokepointsRequest and returns ChokepointsResponse.	Shape	fun chokepoints(req: ChokepointsRequest): ChokepointsResponse
terrain.trafficability	interface		Terrain.trafficability takes TrafficabilityRequest and returns TrafficabilityResponse.	Shape	fun trafficability(req: TrafficabilityRequest): TrafficabilityResponse
terrain.geo	interface		Terrain.geo takes GeoRequest and returns GeoResponse.	Shape	fun geo(req: GeoRequest): GeoResponse
generated classes	definition		Request and response classes are kotlinx.serialization data classes generated from JSON schemas.	Shape	Request and response classes are `kotlinx.serialization` data classes
dcsterrain schema	dependency		dcsterrain schema is a subcommand that prints the schemars output for every operation.	Shape	generated from the JSON schemas `dcsterrain schema` emits (a subcommand
generated classes	behavior		Class generation is a Gradle task.	Shape	output for every operation). Generation is a
generated classes	constraint		The classes are not hand-written, so they cannot drift from the Rust structs.	Shape	cannot drift from the Rust structs.
transports	definition		Two implementations of Terrain exist, chosen by configuration.	Transports	Two implementations of `Terrain`, chosen by configuration:
processterrain	definition		ProcessTerrain spawns dcsterrain serve <file> once and speaks MCP over its stdio.	Transports	- `ProcessTerrain`: spawns `dcsterrain serve <file>` once and speaks MCP
kotlin mcp sdk	dependency		ProcessTerrain uses the Kotlin MCP SDK client.	Transports	over its stdio using the Kotlin MCP SDK client. One process per
processterrain	behavior		One process per theatre file is kept alive for the campaign's life.	Transports	theatre file, kept alive for the campaign's life, restarted on exit
processterrain	behavior		The server process is restarted on exit with backoff.	Transports	with backoff.
processterrain	constraint		ProcessTerrain is the default transport with one JSON round trip per operation.	Transports	This is the default: one JSON round trip per operation,
processterrain	goal		ProcessTerrain uses the same tools the assistant uses and the campaign never links native code.	Transports	the same tools the assistant uses, and the campaign never links native
cliterrain	definition		CliTerrain runs dcsterrain query <file> <op> <json> per call.	Transports	- `CliTerrain`: runs `dcsterrain query <file> <op> <json>` per call.
cliterrain	behavior		CliTerrain is slower (process start per call) but dependency-free, for scripts and tests.	Transports	Slower (process start per call) but dependency-free; for scripts and
binary path	constraint		The binary's path comes from configuration; the module ships no binary.	Transports	The binary's path comes from configuration; the module ships no binary.
terrainfactory.open	interface		TerrainFactory.open(file, binary, installDir?) checks the binary runs and the file's describe succeeds.	Transports	A `TerrainFactory.open(file, binary, installDir?)` checks the binary
terrainfactory.open	behavior		TerrainFactory.open surfaces dcs_build and terrain_digest.	Transports	runs and the file's `describe` succeeds, and surfaces `dcs_build` and
install check	behavior		When installDir is given the factory runs dcsterrain check --install <dir>, the matches_install check.	Transports	`dcsterrain check --install <dir>` (the `matches_install` check) and
install check	behavior		The factory acts per onMismatch REFUSE or WARN, default REFUSE, when the running DCS core build or terrain files differ.	Transports	the factory acts per `onMismatch: REFUSE | WARN` (default `REFUSE`)
file selection	constraint		A campaign keeps one file per (theatre, dcs_build, terrain_digest) and picks by the install it drives.	Transports	A campaign keeps one file per `(theatre, dcs_build,
jdbc reads	constraint		Direct SQLite reads through JDBC are allowed for the vector tables when the campaign only needs a lookup.	Transports	Direct SQLite reads through JDBC are allowed for the vector tables
vector tables	definition		The vector tables are airdrome, beacon, poi, runway and stand.	Transports	(`airdrome`, `beacon`, `poi`, `runway`, `stand`) when the campaign only
sqlite file	dependency		The packed file is stock SQLite.	Transports	needs a lookup, since the file is stock SQLite.
grid tables	constraint		Grid tables are never read from Kotlin.	Transports	Grid tables are never
campaign responsibilities	definition		The section lists the things the design doc leaves to the consumer and where they live.	Campaign-side responsibilities	The things the design doc leaves to the consumer, and where they live:
overlay	definition		The overlay of placed and destroyed objects is a campaign table keyed by (x, z) with a class and footprint.	Campaign-side responsibilities	- **Overlay** of placed and destroyed objects: a campaign table keyed by
overlay	behavior		Overlay entries merge into scenery_in results and pass as extra scenery_max inputs where relevant.	Campaign-side responsibilities	`(x, z)` with a class and footprint, merged into `scenery_in` results
overlay	constraint		The file stays read-only.	Campaign-side responsibilities	stays read-only.
sitepolicy	definition		SitePolicy takes a find_sites or coverage result and a caller-supplied predicate over the metric vector.	Campaign-side responsibilities	doc): a `SitePolicy` that takes a `find_sites` or `coverage` result
sitepolicy	behavior		SitePolicy picks a candidate at random among those that pass the predicate.	Campaign-side responsibilities	candidate at random among those that pass. Pure Kotlin over the
sitepolicy	constraint		SitePolicy is pure Kotlin over the metric vectors with no terrain math and no difficulty tables.	Campaign-side responsibilities	metric vectors; no terrain math, and no difficulty tables: the
sitepolicy	dependency		Selection corresponds to "Choosing a site that is not the best" in the design doc.	Campaign-side responsibilities	- **Selection** ("Choosing a site that is not the best" in the design
waypoint emission	definition		Waypoint emission converts route output to DCS mission waypoints with action = "On Road".	Campaign-side responsibilities	- **Waypoint emission**: converting `route` output to DCS mission
routeplan	definition		RoutePlan holds the route_alternatives result for a recurring movement and picks the next route per departure.	Campaign-side responsibilities	- **Route rotation**: a `RoutePlan` that holds the `route_alternatives`
routeplan	behavior		RoutePlan picks weighted random by a caller-supplied weight, never the same route twice in a row.	Campaign-side responsibilities	route per departure: weighted random by a caller-supplied weight, never
routeplan	behavior		RoutePlan re-plans when the campaign overlay adds a threat or a destroyed bridge.	Campaign-side responsibilities	the same route twice in a row, and re-planned when the campaign
contract tests	behavior		Contract tests run against dcsterrain serve on the synthetic packed file produced by the Rust test suite.	Testing	Contract tests against `dcsterrain serve` on the synthetic packed file
synthetic packed file	dependency		The Kotlin build fetches or builds the binary; the file is generated, never committed.	Testing	produced by the Rust test suite (the Kotlin build fetches or builds the
contract tests	behavior		Every interface method round-trips one request.	Testing	binary; the file is generated, never committed): every interface method
sitepolicy	behavior		SitePolicy unit tests run on hand-written metric vectors.	Testing	round-trips one request. `SitePolicy` unit tests on hand-written metric
contract tests	constraint		Tests use no DCS and no real data.	Testing	vectors. No DCS, no real data.
acceptance 1	behavior		Generated classes compile from dcsterrain schema output with no manual edits.	Acceptance	1. Generated classes compile from `dcsterrain schema` output with no
acceptance 2	behavior		ProcessTerrain survives a killed server process and answers the next call.	Acceptance	2. `ProcessTerrain` survives a killed server process and answers the
acceptance 3	behavior		The campaign FARP placement path calls findSites and places the result with the chosen orientation on the synthetic file.	Acceptance	3. The campaign's FARP placement path calls `findSites` and places the
onMismatch	definition		onMismatch is a factory policy with values REFUSE or WARN and default REFUSE.	Transports	the factory acts per `onMismatch: REFUSE | WARN` (default `REFUSE`)
terrain interface	constraint		Every Terrain method is suspend.	Shape	Every method is `suspend`: `ProcessTerrain` awaits the Kotlin MCP SDK
terrain interface	behavior		ProcessTerrain awaits the Kotlin MCP SDK client and CliTerrain awaits the child process, so no call blocks a thread.	Shape	client, and `CliTerrain` awaits the child process, so no call blocks a
sitepolicy	nongoal		The module ships no difficulty tables; using-the-data.md explains how a campaign may build its own.	Campaign-side responsibilities	module ships none, and `using-the-data.md` explains how a campaign
generated classes	behavior		The Gradle generation task runs `quicktype --lang kotlin --framework kotlinx` over the schema.	Shape	Gradle task running `quicktype --lang kotlin --framework kotlinx` over
generated classes	dependency		`json-kotlin-schema-codegen` on Maven Central is the JVM-native alternative generator.	Shape	the schema (`json-kotlin-schema-codegen` on Maven Central is the
