# spec: extract-format.md
# sha256: 1a7c7365e8b2366cb668aaea435afa12f8c9ecc1aaa33fe5807dd10788737daa
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
extract directory	definition		The extract directory is what the extractor writes and `dcsterrain pack` reads.	Spec: extract format	The directory the extractor writes and `dcsterrain pack` reads.
extractor	definition		The extractor is the Lua side, `pack` is the Rust side, and this format is their only contract.	Spec: extract format	only contract between the Lua side and the Rust side
extract directory	goal		The format is the hand-off between the Windows machine running DCS and any machine running `dcsterrain`.	Spec: extract format	between the Windows machine that runs DCS and any machine that runs
extract directory	constraint		Both sides implement this file exactly and neither reads the other's code.	Spec: extract format	Both sides implement this file exactly; neither reads the
design doc	dependency		Background lives in `design-and-facts.md`.	Spec: extract format	Background: `design-and-facts.md`.
manifest.json	definition		The extract root contains `manifest.json`.	Directory layout	  manifest.json
config.json	definition		The extract root contains `config.json`.	Directory layout	  config.json
airdromes.json	definition		The extract root contains `airdromes.json`.	Directory layout	  airdromes.json
runways.json	definition		The extract root contains `runways.json`.	Directory layout	  runways.json
stands.json	definition		The extract root contains `stands.json`.	Directory layout	  stands.json
beacons.json	definition		The extract root contains `beacons.json`.	Directory layout	  beacons.json
radio.json	definition		The extract root contains `radio.json`.	Directory layout	  radio.json
towns.json	definition		The extract root contains `towns.json`.	Directory layout	  towns.json
nodes.json	definition		The extract root contains `nodes.json`.	Directory layout	  nodes.json
roads.jsonl	definition		The extract root contains `roads.jsonl` and `railroads.jsonl`.	Directory layout	  roads.jsonl
scenery.jsonl	definition		`scenery.jsonl` is written by the mission pass.	Directory layout	  scenery.jsonl            (mission pass)
scenery_models.json	definition		`scenery_models.json` is written by the mission pass.	Directory layout	  scenery_models.json      (mission pass)
height layer	definition		Height tiles live at `tiles/height/<tx>_<tz>.bin`.	Directory layout	    height/<tx>_<tz>.bin
water layer	definition		Water tiles live at `tiles/water/<tx>_<tz>.bin`.	Directory layout	    water/<tx>_<tz>.bin
surface layer	definition		Surface tiles live at `tiles/surface/<tx>_<tz>.bin` and come from the mission pass.	Directory layout	    surface/<tx>_<tz>.bin  (mission pass)
path conventions	constraint		Every path inside the directory is relative, forward-slash and ASCII.	Directory layout	Every path inside the directory is relative, forward-slash, ASCII.
tmp file	behavior		Files are written as `<name>.tmp` and renamed into place.	Directory layout	are written as `<name>.tmp` and renamed into place
tmp file	behavior		A leftover `.tmp` means an interrupted write and `pack` ignores it.	Directory layout	means an interrupted write and `pack` ignores it.
coordinate axes	definition		Units are DCS metres; `x` is north and `z` is east.	Coordinate conventions	DCS metres. `x` is north, `z` is east.
coordinate axes	constraint		Every JSON object in this format uses the keys `x` and `z`.	Coordinate conventions	uses the keys `x` and `z`; the DCS Vec2 convention
vec2 convention	behavior		The DCS Vec2 convention where `y` means z is translated at the extractor boundary and never appears here.	Coordinate conventions	translated at the extractor boundary and never appears here.
height unit	definition		Heights and altitudes are metres above the DCS zero plane.	Coordinate conventions	altitudes are metres above the DCS zero plane.
angle unit	definition		Angles are radians unless a key ends in `_deg`.	Coordinate conventions	Angles are radians unless a
grid extent	definition		The grid covers `[origin_x, origin_x + height × cell_size)` by `[origin_z, origin_z + width × cell_size)`.	Grid geometry	The grid covers the rectangle `[origin_x, origin_x + height × cell_size)`
cell centre	definition		Cell (row, col) is centred at origin plus (index + 0.5) × cell_size on each axis.	Grid geometry	centred at `(origin_x + (row + 0.5) × cell_size, origin_z + (col + 0.5) ×
grid axes	definition		Rows run north and columns run east.	Grid geometry	cell_size)`: rows run north, columns run east.
sampling	constraint		Sampling is at cell centres.	Grid geometry	east. Sampling is at cell
tile size	definition		Tiles are `tile_size × tile_size` cells.	Grid geometry	Tiles are `tile_size × tile_size` cells.
tile indexing	definition		Tile (tx, tz) holds rows tx × tile_size through (tx + 1) × tile_size − 1 and columns likewise.	Grid geometry	`tx × tile_size .. (tx + 1) × tile_size − 1` and columns likewise.
sample index	definition		Within a tile the sample index is `local_row × tile_size + local_col`, row-major with columns fastest.	Grid geometry	a tile, sample index is `local_row × tile_size + local_col` (row-major,
edge tile	constraint		The last tile in each direction is a full tile.	Grid geometry	The last tile in each direction is a full tile; cells
nodata	behavior		Cells beyond the grid are written as the layer's `nodata` value.	Grid geometry	beyond the grid are written as the layer's `nodata` value.
manifest.tiles	definition		A tile absent from `manifest.tiles` was not written.	Grid geometry	A tile absent from `manifest.tiles` was not written.
manifest.tiles	behavior		`pack` reads absent tiles of a pass whose `complete` is true by the `water` tile.	Grid geometry	`pack` reads absent tiles of a pass whose `complete` is true by the
manifest.tiles	behavior		No `water` tile means fill: `nodata` in every layer and `valid` 0.	Grid geometry	`water` tile: no `water` tile means fill (`nodata` in every layer,
manifest.tiles	behavior		A `water` tile entirely `2` with no `height` tile means sea: `height` 0, `surface` 3 WATER.	Grid geometry	`valid` 0); a `water` tile entirely `2` with no `height` tile means sea
manifest.tiles	behavior		`pack` reads an absent tile of an incomplete pass (`--allow-partial`) as all-`nodata`.	Grid geometry	tile of an incomplete pass (`--allow-partial`) as all-`nodata`.
fill tile omission	constraint		The extractor omits a tile in two cases: an all-fill tile and, with `omit_sea_tiles`, an all-sea tile.	Grid geometry	a tile in two cases. A tile whose every cell is fill (see "Tile binary
fill tile omission	behavior		A tile whose every cell is fill is omitted from every layer.	Grid geometry	layout") is omitted from every layer. A tile whose every cell is sea
sea tile omission	constraint		A tile whose every cell is sea (`water` entirely `2`) is omitted from `height` and `surface` when `omit_sea_tiles` is true in the manifest.	Grid geometry	(`water` layer entirely `2`) is omitted from `height` and `surface` when
sea tile omission	constraint		The `water` tile of an all-sea tile is written.	Grid geometry	`omit_sea_tiles` is true in the manifest; its `water` tile is written.
sea tile omission	constraint		Otherwise every tile of every layer in a completed pass is present.	Grid geometry	Otherwise every tile of every layer in a completed pass is present.
tile binary	definition		Tile files are raw little-endian samples with no header and a fixed dtype per layer.	Tile binary layout	Raw samples, no header, little-endian, fixed dtype per layer, exactly
tile binary	constraint		Each tile file holds exactly `tile_size²` samples.	Tile binary layout	`tile_size²` samples. File size is therefore `tile_size² × bytes_per_sample`
tile file size	constraint		`pack` rejects any tile file whose size is not `tile_size² × bytes_per_sample`.	Tile binary layout	and `pack` rejects any other size.
height layer	definition		`height` is `i16` metres, `floor(h + 0.5)`, nodata −32768, from `terrain.GetHeight(x, z)` in the hook pass.	Tile binary layout	| `height` | `i16` | metres, `floor(h + 0.5)` | −32768 | `terrain.GetHeight(x, z)` | hook |
water layer	definition		`water` is `u8` with 0 land, 1 lake, 2 sea, 3 river, 255 unknown; nodata 255.	Tile binary layout	| `water` | `u8` | 0 land, 1 lake, 2 sea, 3 river, 255 unknown string | 255 |
water layer	dependency		`water` comes from the `terrain.GetSurfaceType(x, z)` string in the hook pass.	Tile binary layout	`terrain.GetSurfaceType(x, z)` string | hook |
surface layer	definition		`surface` is `u8` `land.SurfaceType`: 1 LAND, 2 SHALLOW_WATER, 3 WATER, 4 ROAD, 5 RUNWAY; nodata 0.	Tile binary layout	| `surface` | `u8` | `land.SurfaceType` value: 1 LAND, 2 SHALLOW_WATER, 3 WATER, 4 ROAD, 5 RUNWAY | 0 |
surface layer	dependency		`surface` comes from `land.getSurfaceType({x=x, y=z})` in the mission pass.	Tile binary layout	`land.getSurfaceType({x=x, y=z})` | mission |
i16 clamp	constraint		`i16` values are clamped to [−32767, 32767] before encoding so −32768 stays reserved.	Tile binary layout	`i16` values are clamped to `[−32767, 32767]` before encoding so −32768
unknown water string	behavior		Unknown `water` strings are logged once per distinct string and encoded 255.	Tile binary layout	Unknown `water` strings are logged once per distinct
unknown water string	behavior		`pack` reports the count of unknown water strings.	Tile binary layout	string and encoded 255; `pack` reports their count.
lua 5.1	dependency		Lua 5.1 in DCS has no `string.pack`.	Tile binary layout	Lua 5.1 in DCS has no `string.pack`.
i16 encoding	behavior		The extractor encodes `i16` by hand as `v < 0 and v + 65536 or v`, then low byte, high byte.	Tile binary layout	complement by hand: `v < 0 and v + 65536 or v`, then low byte, high byte.
u8 encoding	behavior		`u8` is one `string.char`.	Tile binary layout	`u8` is one `string.char`.
i16 decoding	dependency		The Rust side reads `i16` with `i16::from_le_bytes`.	Tile binary layout	The Rust side reads with `i16::from_le_bytes`.
format_version	definition		The manifest carries an integer `format_version`, currently 1.	manifest.json	"format_version": 1,
extractor_version	definition		The manifest records `extractor_version` as a version string.	manifest.json	"extractor_version": "0.1.0",
theatre	definition		The manifest records the `theatre` id string.	manifest.json	"theatre": "Caucasus",
dcs_build	definition		The manifest records `dcs_build` and `dcs_build_timestamp` as strings.	manifest.json	"dcs_build": "2.9.29.27278",
terrain_fingerprint	definition		`terrain_fingerprint` holds `surface5`, `rn4` and `scn5` entries with path, size, payload_size and head_sha256.	manifest.json	"surface5": { "path": "Mods/terrains/Caucasus/Surface/Caucasus.surface5"
digest	definition		`terrain_fingerprint.digest` is an 8-hex-character string.	manifest.json	"digest": "3f9a1c2e"
