# spec: design-and-facts.md
# sha256: da506cfeefcc9d8cf3fdf284ea86de7eb4dd3b7f60dbebeb339fd7186babccc7
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
plan.md	project plan	Design and facts	
probe-log-2.9.29.27278.md	probe log	Design and facts	raw measurements
probe log	probe log	Design and facts	
Design and facts	design and facts	Design and facts	this document
file	terrain file	Goal	one SQLite file per theatre per DCS build
portable SQLite file	terrain file	Goal	
campaign runtime	campaign runtime	Goal	
layer	layer provenance	Goal	
meta	meta table	Goal	self-describing table
consumers	consumers	Goal	Kotlin campaign process and MCP server
query engine	query engine	Goal	
query surface	query surface	Goal	
repository	repository	Goal	ships tools only
dcs-api-lookup	dcs-api-lookup skill	Sources you have	
dcs-scripting	dcs-scripting skill	Sources you have	
DCS install	dcs install	Sources you have	build 2.9.29.27278
terrains	installed terrains	Sources you have	
dcs-api-bridge	dcs-api-bridge	Sources you have	MCP tools
dcs_eval_in	dcs-api-bridge	Sources you have	
dcs_reflect	dcs-api-bridge	Sources you have	
dcs_ping	dcs-api-bridge	Sources you have	
dcs_bridge_status	dcs-api-bridge	Sources you have	
state	bridge state	Sources you have	hook, server, gui
hook	bridge state	Sources you have	bridge's own state
server	bridge state	Sources you have	mission-scripting state
gui	bridge state	Sources you have	Mission Editor state
terrain.Init	terrain lifetime calls	Sources you have	never call
terrain.Create	terrain lifetime calls	Sources you have	never call
terrain.Release	terrain lifetime calls	Sources you have	never call
terrain.InitLight	terrain lifetime calls	Sources you have	never call
terrain.getCrossParam	terrain lifetime calls	Sources you have	logs an error on bare call
call site	call site reading	Sources you have	
phase	phase sim rule	Sources you have	sim phase reported by dcs_bridge_status
sim	phase sim rule	Sources you have	
createGlobalLand	menu crash	Sources you have	Terrain.dll
crash log	menu crash	Sources you have	
dcs-api-eval	in-flight request	Sources you have	transport directory
in flight	in-flight request	Sources you have	
Hook-side	hook terrain at menu	Sources you have	
terrain	terrain module	The hook-side `terrain` module is the primary extraction API	hook-side C module
terrain module	terrain module	The hook-side `terrain` module is the primary extraction API	
Terrain.GetHeight	terrain.getheight	The hook-side `terrain` module is the primary extraction API	
GetHeight	terrain.getheight	The hook-side `terrain` module is the primary extraction API	
Terrain.isVisible	terrain.isvisible	The hook-side `terrain` module is the primary extraction API	
isVisible	terrain.isvisible	The hook-side `terrain` module is the primary extraction API	
Terrain.getClosestPointOnRoads	terrain.getclosestpointonroads	The hook-side `terrain` module is the primary extraction API	
getClosestPointOnRoads	terrain.getclosestpointonroads	The hook-side `terrain` module is the primary extraction API	
Terrain.findPathOnRoads	terrain.findpathonroads	The hook-side `terrain` module is the primary extraction API	
findPathOnRoads	terrain.findpathonroads	The hook-side `terrain` module is the primary extraction API	
path oracle	terrain.findpathonroads	Design decisions	
Terrain.FindNearestPoint	terrain.findnearestpoint	The hook-side `terrain` module is the primary extraction API	
FindNearestPoint	terrain.findnearestpoint	The hook-side `terrain` module is the primary extraction API	
Terrain.getObjectsAtMapPoint	terrain.getobjectsatmappoint	The hook-side `terrain` module is the primary extraction API	
getObjectsAtMapPoint	terrain.getobjectsatmappoint	The hook-side `terrain` module is the primary extraction API	
Terrain.GetTerrainConfig	terrain.getterrainconfig	The hook-side `terrain` module is the primary extraction API	
GetTerrainConfig	terrain.getterrainconfig	The hook-side `terrain` module is the primary extraction API	
typeRoad	typeroad	The hook-side `terrain` module is the primary extraction API	'roads' or 'railroads'
sweep	height sweep	The hook-side `terrain` module is the primary extraction API	
GetSurfaceType	terrain.getsurfacetype	The hook-side `terrain` module is the primary extraction API	returns a string
hook surface string	terrain.getsurfacetype	The hook-side `terrain` module is the primary extraction API	
row-major	surface sweep	The hook-side `terrain` module is the primary extraction API	
GetSurfaceHeightWithSeabed	terrain.getsurfaceheightwithseabed	The hook-side `terrain` module is the primary extraction API	
