# spec: design-and-facts.md
# sha256: da506cfeefcc9d8cf3fdf284ea86de7eb4dd3b7f60dbebeb339fd7186babccc7
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
project plan	dependency		The project plan lives in `plan.md`.	Design and facts	The project plan is `plan.md`
probe log	dependency		The raw measurements live in `probe-log-2.9.29.27278.md`.	Design and facts	measurements are `probe-log-2.9.29.27278.md`
design and facts	goal		Specs cite this file for background rather than restating it.	Design and facts	Specs cite this file rather
terrain file	goal		Build one portable SQLite file per theatre per DCS build.	Goal	Build one portable SQLite file per theatre per DCS build
terrain file	goal		The file answers terrain siting and routing questions for an external campaign process.	Goal	siting and routing questions for an external campaign process
campaign runtime	constraint		DCS does no terrain work at campaign runtime.	Goal	no terrain work at campaign runtime
layer provenance	constraint		Every layer in the file comes from DCS's own API or DCS's own data files.	Goal	own API or from DCS's own data files
terrain file	constraint		The file is immutable.	Goal	The file is immutable, self-describing
meta table	definition		The file describes itself through a `meta` table.	Goal	through a `meta` table, and readable by
terrain file	constraint		Any stock SQLite client can read the file.	Goal	readable by any stock SQLite client
consumers	definition		The consumers are a Kotlin campaign process and an MCP server.	Goal	The consumers are a Kotlin campaign process and an MCP server
query engine	constraint		Both consumers go through one query engine.	Goal	through one query engine, so the query surface
query surface	definition		The query surface is a small set of named, parameterised operations with structured results.	Goal	parameterised operations with structured results
repository	nongoal		The repository ships tools only, never extracted terrain.	Goal	tools only, never extracted terrain
repository	constraint		Users extract their own theatres.	Goal	users extract their own theatres
dcs-api-lookup skill	dependency		The `dcs-api-lookup` skill holds index and defs for DCS 2.9.29.27278.	Sources you have	The `dcs-api-lookup` skill: index and defs for DCS 2.9.29.27278
dcs-api-lookup skill	constraint		Look up every symbol in the skill before calling it.	Sources you have	every symbol before you call it
dcs-api-lookup skill	constraint		Anchor lookups on the full dotted path.	Sources you have	Anchor lookups on the full dotted path
dcs-api-lookup skill	dependency		The skill's `me_mission.lua` line numbers sit three lines above the install's.	Sources you have	Its `ED's own use` line numbers for `me_mission.lua` sit three lines above
dcs-scripting skill	dependency		The `dcs-scripting` skill provides environment selection and `net.dostring_in` bridge rules.	Sources you have	The `dcs-scripting` skill: environment selection, `net.dostring_in` bridge
dcs-scripting skill	dependency		`assets/Literal.lua` serves cross-state payloads and `assets/probes/` gives probe shape.	Sources you have	`assets/Literal.lua` for cross-state payloads, `assets/probes/` for
dcs-scripting skill	dependency		`references/coordinates.md` covers projections and `references/terrain-and-airbases.md` the airdrome table.	Sources you have	`references/terrain-and-airbases.md` for the airdrome table
dcs install	dependency		The DCS install is read-only build 2.9.29.27278 per `autoupdate.cfg`.	Sources you have	The DCS install, read-only, build 2.9.29.27278 (`autoupdate.cfg`)
installed terrains	dependency		Installed terrains are Caucasus, Marianas, Marianas WWII, Cold War Germany, Persian Gulf, Syria, Afghanistan and Sinai.	Sources you have	terrains: Caucasus, Marianas, Marianas WWII, Cold War Germany, Persian Gulf,
installed terrains	dependency		Kola and Nevada directories exist but hold only `radio.lua`.	Sources you have	Kola and Nevada directories exist but hold only
