# spec: using-the-data.md
# sha256: 8075a18763dd227f42bb438806ab3d1c114f32cb71e1fccc519f36128a5ac595
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
document scope	goal		The document explains what each returned number means and how to turn a ranked list into a graded mission.	Using the data	What every number the query operations return means, how to read it as
query-operations.md	dependency		The operations and their exact request and response fields are in query-operations.md.	Using the data	response fields are in `query-operations.md`; this document is
units	definition		Every distance is metres and every angle degrees.	Using the data	about judgement. Every distance is metres, every angle degrees, every
alt	definition		Altitude is either absolute (alt) or above ground (alt_agl).	Using the data	altitude either absolute (`alt`) or above ground (`alt_agl`), and
terrain only	dependency		DCS's own line of sight ignores buildings and has no trees, and so does this data.	Using the data	everything is terrain only: DCS's own line of sight ignores buildings
design-and-facts.md	dependency		The terrain-only fact is documented in design-and-facts.md.	Using the data	and has no trees, and so does this data (`design-and-facts.md`).
one rule	constraint		The file never chooses.	One rule	The file never chooses.
find_sites	behavior		find_sites returns candidates ranked by a weighted score.	One rule	`find_sites` returns candidates ranked by a
weighted score	definition		The score is a convenience for sorting; the terms array beside it is the real product.	One rule	weighted score, but the score is a convenience for sorting and the
terms	definition		The terms array beside the score is the real product.	One rule	`terms` array beside it is the real product. Selection happens in the
selection	behavior		Selection happens in the campaign, from the terms, against the player and the mission being built.	One rule	campaign, from the terms, against the player and the mission you are
rank 1	behavior		Taking rank 1 every time produces the most defensible site, usually the least interesting and the one the player expects.	One rule	building. Taking rank 1 every time produces the most defensible site,
span	definition		span is the height difference across the footprint, from the span_max term.	Geometry of the site itself	| `span` | `span_max` term |
span	constraint		Under 1 m is a parking lot; 2 to 3 m is fine for a FARP; a helicopter pad tolerates 1 m.	Geometry of the site itself	Under 1 m is a parking lot; 2 to 3 m is fine for a FARP
slope	definition		slope is steepness in degrees, from the slope_max term and the slope grid.	Geometry of the site itself	| `slope` | `slope_max` term, `slope` grid |
slope	constraint		Vehicles park to 5°, a FARP wants 2°, infantry and MANPADS do not care to 20°.	Geometry of the site itself	Vehicles park to 5°, a FARP wants 2°, infantry and MANPADS do not care to 20°.
tpi	definition		tpi_300 and tpi_2000 are topographic position in metres above or below the mean height within the radius: positive on ridges, negative in valleys, near zero on flats and mid-slopes.	Geometry of the site itself	| `tpi_300`, `tpi_2000` | grids, `tpi_class_in` |
tpi	behavior		tpi_class_in cuts both tpi grids at plus or minus 10 m by default, per the query-operations.md Criteria table.	Geometry of the site itself	`tpi_class_in` cuts both at ±10 m by default
tpi	definition		tpi_2000 is the regional setting and tpi_300 the local one.	Geometry of the site itself	`tpi_2000` is the regional setting, `tpi_300` the local one; a site with
tpi	definition		A site with tpi_2000 < 0 and tpi_300 > 0 is a knoll inside a valley, the classic hide-and-see position.	Geometry of the site itself	`tpi_2000 < 0` and `tpi_300 > 0` is a knoll inside a valley
enclosure	definition		enclosure is the mean horizon elevation angle over all directions, from the grid and enclosure_min.	Geometry of the site itself	| `enclosure` | grid, `enclosure_min` |
enclosure	constraint		Near 0° is an open plain; 5° is a broad valley; 15°+ is a gorge.	Geometry of the site itself	Near 0° is an open plain; 5° is a broad valley; 15°+ is a gorge.
